;sample_full;tax_rank;taxid;abundance;Kingdom;Phylum;Class;Order;Family;Genus;Species
17;ProLAneug3;7;N47886_3911;0.02343641;Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Rhodanobacteraceae;Tahibacter;NA
18;ProLFneug1;8;N47886_3911;0.005414882;Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Rhodanobacteraceae;Tahibacter;NA
19;ProLFneug2;11;N47886_3911;0.005715325;Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Rhodanobacteraceae;Tahibacter;NA
20;ProLFneug3;8;N47886_3911;0.004697003;Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Rhodanobacteraceae;Tahibacter;NA
21;ProPAneug1;10;N47886_3911;0.025328904;Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Rhodanobacteraceae;Tahibacter;NA
22;ProPAneug2;11;N47886_3911;0.009526568;Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Rhodanobacteraceae;Tahibacter;NA
23;ProPSaltg3;19;N47886_3911;0.003345555;Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Rhodanobacteraceae;Tahibacter;NA
24;ProPSneug1;7;N47886_3911;0.032452325;Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Rhodanobacteraceae;Tahibacter;NA
25;ProPAaltk2;15;N68782_2085;0.014164306;Bacteria;Bdellovibrionota;Oligoflexia;Oligoflexales;Oligoflexaceae;Oligoflexaceae Family;NA
26;ProPAaltg1;20;N27977_2064;0.005351838;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;NA
27;ProPAneuk1;6;N27977_2064;0.038095238;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;NA
28;ProPAneuk3;13;N27977_2064;0.019380487;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;NA
29;ProPSneuk1;16;N27977_2064;0.009617787;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;NA
30;ProLAaltg1;20;N12526_1578;0.003499022;Bacteria;Acidobacteriota;Holophagae;Acanthopleuribacterales;Acanthopleuribacteraceae;Acanthopleuribacter;NA
31;ProLAaltg3;16;N12526_1578;0.012357217;Bacteria;Acidobacteriota;Holophagae;Acanthopleuribacterales;Acanthopleuribacteraceae;Acanthopleuribacter;NA
32;ProLAneug2;16;N12526_1578;0.00809307;Bacteria;Acidobacteriota;Holophagae;Acanthopleuribacterales;Acanthopleuribacteraceae;Acanthopleuribacter;NA
33;ProLAneug3;13;N12526_1578;0.014229249;Bacteria;Acidobacteriota;Holophagae;Acanthopleuribacterales;Acanthopleuribacteraceae;Acanthopleuribacter;NA
34;ProLFaltk3;20;N12526_1578;0.007491949;Bacteria;Acidobacteriota;Holophagae;Acanthopleuribacterales;Acanthopleuribacteraceae;Acanthopleuribacter;NA
35;ProLFneug3;17;N12526_1578;0.001683319;Bacteria;Acidobacteriota;Holophagae;Acanthopleuribacterales;Acanthopleuribacteraceae;Acanthopleuribacter;NA
36;ProPSaltg3;10;N12526_1578;0.005499542;Bacteria;Acidobacteriota;Holophagae;Acanthopleuribacterales;Acanthopleuribacteraceae;Acanthopleuribacter;NA
37;ProPSneug2;6;N12526_1578;0.024694694;Bacteria;Acidobacteriota;Holophagae;Acanthopleuribacterales;Acanthopleuribacteraceae;Acanthopleuribacter;NA
38;ProPSneug3;12;N12526_1578;0.015125274;Bacteria;Acidobacteriota;Holophagae;Acanthopleuribacterales;Acanthopleuribacteraceae;Acanthopleuribacter;NA
39;ProPAaltg1;2;N43590_3596;0.060389596;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudohongiellaceae;Pseudohongiella;NA
40;ProPAaltg2;5;N43590_3596;0.023317986;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudohongiellaceae;Pseudohongiella;NA
41;ProPAaltg3;2;N43590_3596;0.183754281;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudohongiellaceae;Pseudohongiella;NA
42;ProPAaltk1;16;N43590_3596;0.015576897;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudohongiellaceae;Pseudohongiella;NA
43;ProPAaltg1;14;N22467_2379;0.006848538;Bacteria;Bacteroidota;Kapabacteria;Kapabacteriales;Kapabacteriales_unclassified;Kapabacteriales_unclassified;NA
44;ProPAaltk1;7;N22467_2379;0.030648348;Bacteria;Bacteroidota;Kapabacteria;Kapabacteriales;Kapabacteriales_unclassified;Kapabacteriales_unclassified;NA
45;ProPAaltk3;18;N22467_2379;0.0100253;Bacteria;Bacteroidota;Kapabacteria;Kapabacteriales;Kapabacteriales_unclassified;Kapabacteriales_unclassified;NA
46;ProPSaltg3;13;N54184_1991;0.005453712;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;[Agitococcus] lubricus group;NA
47;ProPSneug1;20;N54184_1991;0.009233857;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;[Agitococcus] lubricus group;NA
48;ProPSneuk3;11;N54184_1991;0.014702279;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;[Agitococcus] lubricus group;NA
49;ProLAaltg2;12;N41305_1384;0.007352941;Bacteria;Bdellovibrionota;Bdellovibrionia;Bdellovibrionales;Bdellovibrionaceae;OM27 clade;NA
50;ProPSaltk3;11;N41305_1384;0.01515305;Bacteria;Bdellovibrionota;Bdellovibrionia;Bdellovibrionales;Bdellovibrionaceae;OM27 clade;NA
51;ProCk1;19;N56691_1267;0.010641317;Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;Blastopirellula;NA
52;ProLAaltg1;6;N20846_17403;0.011732016;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Nitrincolaceae;Corallomonas;NA
53;ProLAaltg3;12;N20846_17403;0.01536864;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Nitrincolaceae;Corallomonas;NA
54;ProLAneug1;1;N20846_17403;0.299923342;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Nitrincolaceae;Corallomonas;NA
55;ProLAneuk1;8;N20846_17403;0.040935673;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Nitrincolaceae;Corallomonas;NA
56;ProLAneuk2;6;N20846_17403;0.046947519;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Nitrincolaceae;Corallomonas;NA
57;ProLAneuk3;6;N20846_17403;0.02587729;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Nitrincolaceae;Corallomonas;NA
58;ProLFaltg2;7;N20846_17403;0.023854962;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Nitrincolaceae;Corallomonas;NA
59;ProLFaltg3;15;N20846_17403;0.002441773;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Nitrincolaceae;Corallomonas;NA
60;ProLFaltk1;16;N20846_17403;0.013634386;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Nitrincolaceae;Corallomonas;NA
61;ProLFneug1;4;N20846_17403;0.009431659;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Nitrincolaceae;Corallomonas;NA
62;ProLFneug2;2;N20846_17403;0.031252436;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Nitrincolaceae;Corallomonas;NA
63;ProLFneug3;4;N20846_17403;0.016697437;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Nitrincolaceae;Corallomonas;NA
64;ProLFneuk1;7;N20846_17403;0.017090139;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Nitrincolaceae;Corallomonas;NA
65;ProLFneuk3;2;N20846_17403;0.107167568;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Nitrincolaceae;Corallomonas;NA
66;ProPAaltg1;16;N20846_17403;0.005941447;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Nitrincolaceae;Corallomonas;NA
67;ProPAaltg3;19;N20846_17403;0.007170377;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Nitrincolaceae;Corallomonas;NA
68;ProPAaltk3;20;N20846_17403;0.009519292;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Nitrincolaceae;Corallomonas;NA
69;ProPAneug1;17;N20846_17403;0.008531561;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Nitrincolaceae;Corallomonas;NA
70;ProPAneug2;3;N20846_17403;0.077178076;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Nitrincolaceae;Corallomonas;NA
71;ProPAneug3;7;N20846_17403;0.03334535;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Nitrincolaceae;Corallomonas;NA
72;ProPSaltg1;6;N20846_17403;0.02652992;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Nitrincolaceae;Corallomonas;NA
73;ProPSaltg2;11;N20846_17403;0.008791658;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Nitrincolaceae;Corallomonas;NA
74;ProPSaltk1;19;N20846_17403;0.006703001;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Nitrincolaceae;Corallomonas;NA
75;ProCg1;9;N9811_1139;0.016328749;Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Saprospiraceae;Saprospiraceae Family;NA
76;ProCg2;5;N9811_1139;0.029733424;Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Saprospiraceae;Saprospiraceae Family;NA
77;ProCk1;17;N9811_1139;0.011137911;Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Saprospiraceae;Saprospiraceae Family;NA
78;ProCk2;5;N9811_1139;0.024689524;Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Saprospiraceae;Saprospiraceae Family;NA
79;ProCk3;14;N9811_1139;0.012959772;Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Saprospiraceae;Saprospiraceae Family;NA
80;ProLFaltg1;17;N9811_1139;0.011354888;Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Saprospiraceae;Saprospiraceae Family;NA
81;ProPAaltg1;13;N9811_1139;0.006961925;Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Saprospiraceae;Saprospiraceae Family;NA
82;ProPAaltg3;14;N9811_1139;0.010809075;Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Saprospiraceae;Saprospiraceae Family;NA
83;ProPAaltk1;12;N9811_1139;0.017322979;Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Saprospiraceae;Saprospiraceae Family;NA
84;ProPAneug1;18;N9811_1139;0.008265781;Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Saprospiraceae;Saprospiraceae Family;NA
85;ProPAneug3;13;N9811_1139;0.017844268;Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Saprospiraceae;Saprospiraceae Family;NA
86;ProPSaltg2;12;N9811_1139;0.008382744;Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Saprospiraceae;Saprospiraceae Family;NA
87;ProPSneug3;19;N25381_1087;0.009814109;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Pasteurellaceae;Seminibacterium;NA
88;ProPAneuk3;19;N28987_830;0.010601292;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Rhodocyclaceae;Azospira;NA
89;ProPSaltk1;18;N28987_830;0.007016225;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Rhodocyclaceae;Azospira;NA
90;ProCk2;9;N30799_1338;0.018093767;Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Microscillaceae;Microscillaceae Family;NA
91;ProLFaltk3;17;N49271_2369;0.009136285;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillales Order;Rhodospirillales Order;NA
92;ProLFneuk1;18;N49271_2369;0.008045977;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillales Order;Rhodospirillales Order;NA
93;ProLFaltg1;13;N53468_1497;0.013760585;Bacteria;Myxococcota;Polyangia;Nannocystales;Nannocystaceae;Nannocystis;NA
94;ProPSneug3;18;N53468_1497;0.010045029;Bacteria;Myxococcota;Polyangia;Nannocystales;Nannocystaceae;Nannocystis;NA
95;ProCk3;12;N28291_9527;0.018428347;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Kinneretia;NA
96;ProLAneug2;11;N28291_9527;0.012645422;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Kinneretia;NA
97;ProLAneuk2;4;N28291_9527;0.082470546;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Kinneretia;NA
98;ProLFaltk2;8;N28291_9527;0.024905503;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Kinneretia;NA
99;ProLFaltk3;6;N28291_9527;0.034774317;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Kinneretia;NA
100;ProPAaltk3;13;N28291_9527;0.013820367;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Kinneretia;NA
101;ProPAneuk1;4;N28291_9527;0.062770563;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Kinneretia;NA
102;ProPAneuk2;17;N28291_9527;0.010119948;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Kinneretia;NA
103;ProPSaltg2;17;N28291_9527;0.005152321;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Kinneretia;NA
104;ProPSaltk1;6;N28291_9527;0.022364217;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Kinneretia;NA
105;ProPSaltk2;8;N28291_9527;0.037371405;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Kinneretia;NA
106;ProPSaltk3;9;N28291_9527;0.021169702;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Kinneretia;NA
107;ProPSneug3;13;N28291_9527;0.014086133;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Kinneretia;NA
108;ProPSneuk3;3;N28291_9527;0.077513681;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Kinneretia;NA
109;ProCg1;18;N11703_2845;0.010253349;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Gemmobacter;NA
110;ProPAneug1;20;N11703_2845;0.007627907;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Gemmobacter;NA
111;ProCk1;9;N28896_1217;0.019296254;Bacteria;Planctomycetota;Planctomycetes;Gemmatales;Gemmataceae;Gemmata;NA
112;ProCk3;20;N28896_1217;0.010412765;Bacteria;Planctomycetota;Planctomycetes;Gemmatales;Gemmataceae;Gemmata;NA
113;ProLAaltk1;7;N53022_1927;0.020452745;Bacteria;Proteobacteria;Alphaproteobacteria;Elsterales;Elsteraceae;Elstera;NA
114;ProLAneug3;5;N53022_1927;0.028365496;Bacteria;Proteobacteria;Alphaproteobacteria;Elsterales;Elsteraceae;Elstera;NA
115;ProPAaltk2;20;N53022_1927;0.011331445;Bacteria;Proteobacteria;Alphaproteobacteria;Elsterales;Elsteraceae;Elstera;NA
116;ProLAaltg1;12;N29754_6766;0.006483483;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Hydrogenophaga;NA
117;ProLAaltg3;13;N29754_6766;0.014330218;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Hydrogenophaga;NA
118;ProLAaltk1;6;N29754_6766;0.029166767;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Hydrogenophaga;NA
119;ProLAneug1;2;N29754_6766;0.055385205;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Hydrogenophaga;NA
120;ProLAneuk1;6;N29754_6766;0.042606516;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Hydrogenophaga;NA
121;ProLAneuk2;7;N29754_6766;0.032845412;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Hydrogenophaga;NA
122;ProLAneuk3;4;N29754_6766;0.054899581;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Hydrogenophaga;NA
123;ProLFaltg2;13;N29754_6766;0.011768448;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Hydrogenophaga;NA
124;ProLFaltg3;12;N29754_6766;0.003193088;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Hydrogenophaga;NA
125;ProLFaltk2;9;N29754_6766;0.022493797;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Hydrogenophaga;NA
126;ProLFneug1;17;N29754_6766;0.002862786;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Hydrogenophaga;NA
127;ProLFneug3;20;N29754_6766;0.001466116;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Hydrogenophaga;NA
128;ProLFneuk2;10;N29754_6766;0.014108944;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Hydrogenophaga;NA
129;ProPAaltk2;2;N29754_6766;0.073654391;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Hydrogenophaga;NA
130;ProPAneug1;15;N29754_6766;0.011906977;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Hydrogenophaga;NA
131;ProPAneug2;17;N29754_6766;0.007273664;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Hydrogenophaga;NA
132;ProPAneug3;11;N29754_6766;0.018354963;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Hydrogenophaga;NA
133;ProPAneuk1;10;N29754_6766;0.021645022;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Hydrogenophaga;NA
134;ProPAneuk2;12;N29754_6766;0.01657541;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Hydrogenophaga;NA
135;ProPAneuk3;9;N29754_6766;0.036607587;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Hydrogenophaga;NA
136;ProPSaltg1;15;N29754_6766;0.010764536;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Hydrogenophaga;NA
137;ProPSaltg2;14;N29754_6766;0.006297281;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Hydrogenophaga;NA
138;ProPSaltk1;8;N29754_6766;0.014470964;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Hydrogenophaga;NA
139;ProPSaltk2;3;N29754_6766;0.055357268;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Hydrogenophaga;NA
140;ProPSaltk3;15;N29754_6766;0.010878593;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Hydrogenophaga;NA
141;ProPSneug2;14;N29754_6766;0.010483087;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Hydrogenophaga;NA
142;ProPSneug3;11;N29754_6766;0.016222145;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Hydrogenophaga;NA
143;ProPSneuk2;4;N29754_6766;0.052298153;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Hydrogenophaga;NA
144;ProPSneuk3;10;N29754_6766;0.019031283;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Hydrogenophaga;NA
145;ProCk2;4;N62214_45676;0.028952998;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Comamonadaceae Family;NA
146;ProCk3;8;N62214_45676;0.024646041;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Comamonadaceae Family;NA
147;ProLAaltg1;2;N62214_45676;0.040856231;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Comamonadaceae Family;NA
148;ProLAaltg2;2;N62214_45676;0.056438792;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Comamonadaceae Family;NA
149;ProLAaltg3;5;N62214_45676;0.046728972;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Comamonadaceae Family;NA
150;ProLAaltk1;1;N62214_45676;0.351153468;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Comamonadaceae Family;NA
151;ProLAaltk3;13;N62214_45676;0.014388894;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Comamonadaceae Family;NA
152;ProLAneug1;15;N62214_45676;0.016864699;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Comamonadaceae Family;NA
153;ProLAneug3;17;N62214_45676;0.010090677;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Comamonadaceae Family;NA
154;ProLAneuk1;9;N62214_45676;0.029239766;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Comamonadaceae Family;NA
155;ProLAneuk2;3;N62214_45676;0.123438058;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Comamonadaceae Family;NA
156;ProLAneuk3;1;N62214_45676;0.249227544;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Comamonadaceae Family;NA
157;ProLFaltg1;10;N62214_45676;0.017898383;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Comamonadaceae Family;NA
158;ProLFaltk3;4;N62214_45676;0.045837104;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Comamonadaceae Family;NA
159;ProLFneuk1;3;N62214_45676;0.133393829;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Comamonadaceae Family;NA
160;ProLFneuk2;1;N62214_45676;0.38129089;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Comamonadaceae Family;NA
161;ProPAaltg2;1;N62214_45676;0.394772018;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Comamonadaceae Family;NA
162;ProPAaltg3;3;N62214_45676;0.123501712;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Comamonadaceae Family;NA
163;ProPAaltk1;4;N62214_45676;0.049257915;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Comamonadaceae Family;NA
164;ProPAaltk2;5;N62214_45676;0.056657224;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Comamonadaceae Family;NA
165;ProPAaltk3;1;N62214_45676;0.285736875;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Comamonadaceae Family;NA
166;ProPAneug1;2;N62214_45676;0.111654485;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Comamonadaceae Family;NA
167;ProPAneug2;16;N62214_45676;0.007949535;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Comamonadaceae Family;NA
168;ProPAneuk1;3;N62214_45676;0.097691198;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Comamonadaceae Family;NA
169;ProPAneuk3;5;N62214_45676;0.063276462;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Comamonadaceae Family;NA
170;ProPSaltg1;1;N62214_45676;0.249364299;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Comamonadaceae Family;NA
171;ProPSaltg2;5;N62214_45676;0.02367614;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Comamonadaceae Family;NA
172;ProPSaltk1;1;N62214_45676;0.545950009;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Comamonadaceae Family;NA
173;ProPSaltk2;1;N62214_45676;0.259920218;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Comamonadaceae Family;NA
